/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:4.2 CYCLES:5902 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 36.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:4.3 CYCLES:6144 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 32.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:3.9 CYCLES:5594 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 43.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:4.1 CYCLES:5858 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 37.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:4.0 CYCLES:5616 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 42.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:3.9 CYCLES:5572 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 43.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:4.0 CYCLES:5682 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 41.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:3.9 CYCLES:5572 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 43.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:4.3 CYCLES:6122 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 32.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:4.2 CYCLES:5902 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 36.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:4.2 CYCLES:5902 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 36.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:4.3 CYCLES:6144 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 32.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:3.9 CYCLES:5594 ICOUNT:1417 IHITRATE: 54.0 DHITRATE: 43.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:8.0 CYCLES:80 ICOUNT:10 IHITRATE: 17.3 DHITRATE: 24.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:12.4 CYCLES:87 ICOUNT:7 IHITRATE: 10.8 DHITRATE: 15.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:6.3 CYCLES:57 ICOUNT:9 IHITRATE: 13.0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:10.6 CYCLES:74 ICOUNT:7 IHITRATE: 12.7 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:8.0 CYCLES:80 ICOUNT:10 IHITRATE: 17.3 DHITRATE: 24.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:12.4 CYCLES:87 ICOUNT:7 IHITRATE: 10.8 DHITRATE: 15.8
